#    Isomers_aligned           RMSD(Conv)  RMSD(KM-ByAtomName)
2    2-Cs-1_2-OpenC1           0.875       0.316
3    3-UUD_3-UUU_3             1.055       0.310
4    4-Ci_4-S4_4               0.494       0.494
5    5-CA-A_5-CA-B_5           1.464       0.756
6    6-BAG_6-BK-1_6            2.341       1.187
7    7-BI1_7-BI2_7             3.125       0.450
8    8-D2d_8-S4_8              2.794       0.372
9    9-D2dDD_9-S4DA_9          2.588       0.365
10   10-PP1_10-PP2_10          3.266       0.338
11   11-551A-1_11-551A-4_11    2.878       0.958
12   12-D2d-1-L_12-D2d-1-R_12  3.765       0.382
13   13-TIP4P_13-TIP5P_13      2.930       1.521
14   14-1_14-2_14              3.497       0.812
15   15-1_15-2_15              3.237       1.377
16   16-TIP4P_16-TIP5P_16      4.154       1.947
17   17-TIP4P_17-TIP5P_17      3.925       1.345
18   18-TIP4P_18-TIP5P_18      4.534       1.654
19   19-TIP4P_19-TIP5P_19      4.572       1.594
20   20-TIP4P_20-TIP5P_20      4.624       1.763
21   21-TIP4P_21-TIP5P_21      4.684       1.538
25   25-1_25-2_25              5.408       2.546
40   40-a_40-b_40              6.930       2.176
60   60-1_60-2_60              7.739       1.928
100  100-1_100-2_100           8.460       1.967
